1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Modern_Eletric,Bsmt_BR,Total_BR,Total_BA,Non_BA_BR,BsmtFinSF_Ratio,TotFinSF,LvgSpaceAbvGr_Ratio,All_SF,PorchSF_Ratio,HasShed
856,854,0,None,3,1Fam,3,1,706.0,0.0,6,1,1.0,0.0,4,150.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,Typ,548.0,2.0,3,2,3,Attchd,2003.0,1710,1,GasA,5,2Story,1,1,4,Lvl,Gtl,8450,Inside,65.0,Reg,0,60,RL,196.0,BrkFace,0,2,CollgCr,61,5,7,Y,0,0,CompShg,Gable,Normal,208500.0,WD,0,Pave,8,856.0,AllPub,0,2003,2003,2008,Modern,1,4,3.5,0.875,0.8247663551401869,2416.0,0.7077814569536424,2477.0,0.025248344370860928,0
1262,0,0,None,3,1Fam,3,4,978.0,0.0,5,1,0.0,1.0,4,284.0,Y,Feedr,Norm,SBrkr,0,3,3,MetalSd,MetalSd,0,3,1,CBlock,2,Typ,460.0,2.0,3,2,3,Attchd,1976.0,1262,0,GasA,5,1Story,2,1,3,Lvl,Gtl,9600,FR2,80.0,Reg,0,20,RL,0.0,None,0,5,Veenker,0,8,6,Y,0,0,CompShg,Gable,Normal,181500.0,WD,0,Pave,6,1262.0,AllPub,298,1976,1976,2007,Modern,0,3,2.5,1.0,0.7749603803486529,2240.0,0.5633928571428571,2538.0,0.13303571428571428,0
920,866,0,None,3,1Fam,3,2,486.0,0.0,6,1,1.0,0.0,4,434.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,3,1,PConc,2,Typ,608.0,2.0,3,2,3,Attchd,2001.0,1786,1,GasA,5,2Story,3,1,4,Lvl,Gtl,11250,Inside,68.0,IR1,0,60,RL,162.0,BrkFace,0,9,CollgCr,42,5,7,Y,0,0,CompShg,Gable,Normal,223500.0,WD,0,Pave,6,920.0,AllPub,0,2001,2002,2008,Modern,1,4,3.5,1.1666666666666667,0.5282608695652173,2272.0,0.7860915492957746,2314.0,0.018485915492957746,0
961,756,0,None,3,1Fam,4,1,216.0,0.0,5,1,1.0,0.0,3,540.0,Y,Norm,Norm,SBrkr,272,3,3,Wd Sdng,Wd Shng,0,4,1,BrkTil,1,Typ,642.0,3.0,3,1,3,Detchd,1998.0,1717,0,GasA,4,2Story,4,1,4,Lvl,Gtl,9550,Corner,60.0,IR1,0,70,RL,0.0,None,0,2,Crawfor,35,5,7,Y,0,0,CompShg,Gable,Abnorml,140000.0,WD,0,Pave,7,756.0,AllPub,0,1915,1970,2006,Modern,1,4,2.0,0.7142857142857143,0.2857142857142857,1933.0,0.8882565959648215,2240.0,0.15882048629073978,0
1145,1053,0,None,4,1Fam,3,3,655.0,0.0,6,1,1.0,0.0,4,490.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,3,1,PConc,2,Typ,836.0,3.0,3,2,3,Attchd,2000.0,2198,1,GasA,5,2Story,5,1,4,Lvl,Gtl,14260,FR2,84.0,IR1,0,60,RL,350.0,BrkFace,0,12,NoRidge,84,5,8,Y,0,0,CompShg,Gable,Normal,250000.0,WD,0,Pave,9,1145.0,AllPub,192,2000,2000,2008,Modern,1,5,3.5,0.8888888888888888,0.5720524017467249,2853.0,0.7704171048019628,3129.0,0.09674027339642481,0
796,566,320,None,1,1Fam,3,1,732.0,0.0,6,1,1.0,0.0,4,64.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,1,0,0,Wood,1,Typ,480.0,2.0,3,1,3,Attchd,1993.0,1362,1,GasA,5,1.5Fin,6,1,3,Lvl,Gtl,14115,Inside,85.0,IR1,0,50,RL,0.0,None,700,10,Mitchel,30,5,5,Y,0,0,CompShg,Gable,Normal,143000.0,WD,0,Pave,5,796.0,AllPub,40,1993,1995,2009,Modern,1,2,2.5,0.8,0.9195979899497487,2094.0,0.6504297994269341,2484.0,0.18624641833810887,1
1694,0,0,None,3,1Fam,3,3,1369.0,0.0,6,1,1.0,0.0,5,317.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,Typ,636.0,2.0,3,2,3,Attchd,2004.0,1694,0,GasA,5,1Story,7,1,4,Lvl,Gtl,10084,Inside,75.0,Reg,0,20,RL,186.0,Stone,0,8,Somerst,57,5,8,Y,0,0,CompShg,Gable,Normal,307000.0,WD,0,Pave,7,1686.0,AllPub,255,2004,2005,2007,Modern,1,4,3.0,0.8571428571428571,0.8119810201660735,3063.0,0.5530525628468821,3375.0,0.10186092066601371,0
1107,983,0,None,3,1Fam,3,2,859.0,32.0,5,4,1.0,0.0,4,216.0,Y,PosN,Norm,SBrkr,228,3,3,HdBoard,HdBoard,0,3,2,CBlock,2,Typ,484.0,2.0,3,2,3,Attchd,1973.0,2090,1,GasA,5,2Story,8,1,3,Lvl,Gtl,10382,Corner,0.0,IR1,0,60,RL,240.0,Stone,350,11,NWAmes,204,6,7,Y,0,0,CompShg,Gable,Normal,200000.0,WD,0,Pave,7,1107.0,AllPub,235,1973,1973,2009,Modern,1,4,3.5,1.0,0.8048780487804879,2981.0,0.7011070110701108,3648.0,0.22375041932237505,1
1022,752,0,None,2,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,952.0,Y,Artery,Norm,FuseF,205,3,3,BrkFace,Wd Shng,0,3,2,BrkTil,2,Min1,468.0,2.0,3,1,2,Detchd,1931.0,1774,0,GasA,4,1.5Fin,9,2,3,Lvl,Gtl,6120,Inside,51.0,Reg,0,50,RM,0.0,None,0,4,OldTown,0,5,7,Y,0,0,CompShg,Gable,Abnorml,129900.0,WD,0,Pave,8,952.0,AllPub,90,1931,1950,2008,Hist,0,2,2.0,0.625,0.0,1774.0,1.0,2069.0,0.16629086809470123,0
1077,0,0,None,2,2fmCon,3,1,851.0,0.0,6,1,1.0,0.0,3,140.0,Y,Artery,Artery,SBrkr,0,3,3,MetalSd,MetalSd,0,3,2,BrkTil,1,Typ,205.0,1.0,3,2,4,Attchd,1939.0,1077,0,GasA,5,1.5Unf,10,2,3,Lvl,Gtl,7420,Corner,50.0,Reg,0,190,RL,0.0,None,0,1,BrkSide,4,6,5,Y,0,0,CompShg,Gable,Normal,118000.0,WD,0,Pave,5,991.0,AllPub,0,1939,1950,2008,Modern,1,3,2.0,0.8,0.858728557013118,1928.0,0.5586099585062241,1932.0,0.002074688796680498,0
